Lab 일련번호,분류,도포 날짜,원단,점착제,경화제,첨가제,도포량,작업자,점착력,가열압착,내열성,내후성,내습성,야외폭로,가공/유지력,절곡,레이저컷팅,내충격성,비고
1556,"가공용(SGO164D대체)1520+1,3-Cyclohexanebis(methylamine)/2%",2025-04-14 00:00:00,(T58),S250402G,"(1,3-CHB(MA)/2%)",,(2)(#8),박다영,"(395,434/352,352/307,340)*(초/90/BA/숙성1,2,3일차)",(100>320)*(가:80도1일/180/DCM4144/숙성3일차),,,,,False,False,False,False,
1555,가공용(SGO164D대체)1520+m-Xylylenediamine/2%,2025-04-14 00:00:00,(T58),S250402G,(m-XDA/2%),,(2)(#8),박다영,"(385,402,457,450,438,435/323,344,400,358,380,364/340,345,388,371,351,357/331,319,330,344)*(초/90/BA/숙성1,2,3,4일차)",(70>250)*(가:80도1일/180/DCM4144/숙성3일차),,,,,False,False,False,False,
1554,가공용(SGO164D대체)1520+KH-819/2% (아민계경화제),2025-04-14 00:00:00,(T58),S250402G,(KH-819/2%),,(2)(#8),박다영,"(298,284/229,204/227,250)*(초/90/BA/숙성1,2,3일차)+(140)*(초/180/DCM4144)",,,,,,False,False,False,False,석출발생
1553,가공용(SGO164D대체)1520+KH-816/2% (아민계경화제),2025-04-14 00:00:00,(T58),S250402G,(KH-816/2%),,(2)(#8),박다영,"(378,374/348,319/325,354)*(초/90/BA/숙성1,2,3일차)+(40)*(초/180/DCM4144)",,,,,,False,False,False,False,석출발생
1552,기초실험(수성배면제개발)1465+배면,2025-04-14 00:00:00,(G75)_배면,911,(CX100/0.8%),(TSR5903/5%),(1.2)(#12),박다영,"(300,314)*(초/90/BA)+(66/67)*(풀림성/90/바로,재부착)",,,,,,False,False,False,False,
1551,장기물성개선용(에폭시수지적용검토)KEM-134-60/10%,2025-04-14 00:00:00,(G75),911,(CX100/0.8%),(TSR5903/5%)(KEM13460/10%),(1.2)(#12),노항우,"(351,348)*(초/90/BA)",(308>445_백탁)*(가/90/BA),,,,,False,False,False,False,
1550,태국 알루미늄 프로파일용(911 점착제 적용)1535+2.7배합+#8bar,2025-04-11 00:00:00,(BW58),911,(CX100/1%)(SV02/1.5%),(TSR5903/5%),(2.7)(#8),노항우,"(212,208)*(초/90/BA)",,,,,,False,False,False,False,
1549,일반보호용(SGE-113후기개선)1545+909혼용(0:10),2025-04-11 00:00:00,(T45),909,(CX100/2%)(SV02/1.5%),(SA3/0.2%),(2.7)(#3),박다영,"(68,76)*(초/90/BA)",(47>126)*(가/90/304L),,,,,False,False,False,False,
1548,일반보호용(SGE-113후기개선)1545+909혼용(2:8),2025-04-11 00:00:00,(T45),910:909=2:8,(CX100/2%)(SV02/1.5%),(SA3/0.2%),(2.7)(#3),박다영,"(70,64)*(초/90/BA)",(45>142)*(가/90/304L),,,,,False,False,False,False,
1547,일반보호용(SGE-113후기개선)1545+909혼용(5:5),2025-04-11 00:00:00,(T45),910:909=5:5,(CX100/2%)(SV02/1.5%),(SA3/0.2%),(2.7)(#3),박다영,"(60,60)*(초/90/BA)",(41>151)*(가/90/304L),,,,,False,False,False,False,
1546,일반보호용(SGE-113후기개선)1545+909혼용(8:2),2025-04-11 00:00:00,(T45),910:909=8:2,(CX100/2%)(SV02/1.5%),(SA3/0.2%),(2.7)(#3),박다영,"(59,59)*(초/90/BA)",(33>156)*(가/90/304L),,,,,False,False,False,False,
1545,일반보호용(SGE-113후기개선) ref. 910E#150,2025-04-11 00:00:00,(T45),910,(CX100/2%)(SV02/1.5%),(SA3/0.2%),(2.7)(#3),박다영,"(48,50,40,40,50,46)*(초/90/BA)","(/17>113,116/109,110)*(가/90/BA,304L)",,(7일양호)*(BA),,,False,False,False,False,
1544,일반보호용(SGE-133대체)1538+SV02/3%,2025-04-11 00:00:00,(B45),911,(CX100/1.5%)(SV02/3%),(TSR5903/5%),(2.7)(#8),노항우,"(174,174/172,179/236,247)*(초/90/BA/항0,1,2주)","(97/59>227/190)*(가/90/HL,2B3T)+(/215/230>/345/392)*(가/90/BA/항0,1,2주)",,,,,True,False,False,False,
1543,일반보호용(SGE-133대체)1538+SV02/2.5%,2025-04-11 00:00:00,(B45),911,(CX100/1.5%)(SV02/2.5%),(TSR5903/5%),(2.7)(#8),노항우,"(174,178/181,204/193,192/239,240)*(초/90/BA/항0,1,1.5,2주)","(115/43>214/191)*(가/90/HL,2B3T)+(/219/213/245>/361/393/395)*(가/90/BA/항0,1,1.5,2주)",,(7일양호)*(BA),,,True,False,False,False,
1542,신규 업체 원단 적용 검토(BW140)913A #8bar 적용(도포x),2025-04-10 00:00:00,(신규BW140),913,(CX100/1.3%),,(2.7)(#8),노항우,,,,,,,False,False,False,False,
1541,신규 업체 원단 적용 검토(BW48)913A #8bar 적용(도포x),2025-04-10 00:00:00,(신규BW48),913,(CX100/1.3%),,(2.7)(#8),노항우,,,,,,,False,False,False,False,
1540,베트남 막 테이프용(917 점착제 적용)1539+CX100/0.5%,2025-04-10 00:00:00,(T45),917,(CX100/0.5%),,(2.7)(#3),노항우,"(185,178)*(초/90/BA)",,,,,,False,False,False,False,
1539,베트남 막 테이프용(917 점착제 적용),2025-04-10 00:00:00,(T45),917,(CX100/0.3%),,(2.7)(#3),노항우,"(180,175)*(초/90/BA)",,,,,,False,False,False,False,
1538,일반보호용(SGE-133대체)1537+CX100/1.5%,2025-04-09 00:00:00,(B45),911,(CX100/1.5%)(SV02/2%),(TSR5903/5%),(2.7)(#8),노항우,"(168,167,179,186/210,210/207,195/278,269)*(초/90/BA/항0,1,1.5,2주)","(129,119/73,83>193,260/95,150)*(가/90/HL,2B3T)+(/222/223/255>/378/402/455)*(가/90/BA/항0,1,1.5,2주)",,,,,True,False,False,False,
1537,일반보호용(SGE-133대체)1530+2.7배합,2025-04-09 00:00:00,(B45),911,(CX100/0.8%)(SV02/2%),(TSR5903/5%),(2.7)(#8),노항우,"(203,229)*(초/90/BA)","(169/117>293/142)*(가/90/HL,2B3T)",,,,,True,False,False,False,
1536,건축내외장재용(SGO457대체용)1534+SV02/1%,2025-04-09 00:00:00,(WPO100),911,(CX100/1%)(SV02/1%),(TSR5903/5%),(1.2)(#12),박다영,"(299,280)*(초/90/BA)","(252/174>487/180)*(가/90/HL,2B3T)",,,,,True,False,False,False,
1535,건축내외장재용(SGO457대체용)1534+SV02/1.5%,2025-04-09 00:00:00,(WPO100),911,(CX100/1%)(SV02/1.5%),(TSR5903/5%),(1.2)(#12),박다영,"(291,284,291,314,316,285/310,298/364,364/406,377/380,410)*(초/90/BA/항0,0.5,1,1.5,2주)+(165)*(초/90/2B3T)","(287/122>485/150)*(가/90/HL,2B3T)+(/343/362/396/>/632/665/889/860_탈리)*(가/90/BA/항0,0.5,1,1.5,2주)",,(7일양호)*(BA),,,True,False,False,False,
1534,건축내외장재용(SGO457대체용)1525+CX100/1%,2025-04-09 00:00:00,(WPO100),911,(CX100/1%)(SV02/2%),(TSR5903/5%),(1.2)(#12),박다영,"(274,290,307,303/295,301/322,312/334,312/336,355)*(초/90/BA/항0,0.5,1,1.5,2주)","(276/116>434/150)*(가/90/HL,2B3T)+(/312/365/357/>/786/640/741/818_탈리)*(가/90/BA/항0,0.5,1,1.5,2주)",,,,,True,False,False,False,
1533,건조온도별 물성차이 확인(건조온도:60도)911E,2025-04-08 00:00:00,(G75),911,(CX100/0.8%),(TSR5903/5%),(1.2)(#12),노항우,"(276,284/316,332/448,409/418,414/474,480)*(초/90/BA/항항0,0.5,1,1.5,2주)","(303/326/472/390/500>590/749_탈리/781_탈리/786_탈리/907_탈리)*(가/90/BA/항항0,0.5,1,1.5,2주)",,,,,False,False,False,False,
1532,장기물성개선용(유화제함량조절)SR-1025/1.25%+A-10/0.1%,2025-04-08 00:00:00,(G75),S250407F,(CX100/0.8%),(TSR5903/5%),(1.2)(#12),노항우,"(367,353/346,379/497,482/418,461/493,459)*(초/90/BA/항항0,0.5,1,1.5,2주)","(303/383/462/368/517>767_탈리/803_탈리/782_탈리/836_탈리/930_탈리)*(가/90/BA/항항0,0.5,1,1.5,2주)",,,,,False,False,False,False,
1531,일반보호용(SGE-133대체)911F+B45+#8bar,2025-04-04 00:00:00,(B45),911,(CX100/0.8%),(TSR5903/10%),(1.2)(#8),노항우,"(303,294)*(초/90/BA)","(203/127>550/326)*(가/90/BA,2B3T)",,(7일양호)*(BA),,,True,False,False,False,
1530,일반보호용(SGE-133대체)1527+SV02/2%,2025-04-04 00:00:00,(B45),911,(CX100/0.8%)(SV02/2%),(TSR5903/5%),(1.2)(#8),노항우,"(237,243,244,234)*(초/90/BA)","(138/115,157/208>442/226,179/345)*(가/90/BA,2B3T,HL)",,(7일양호)*(BA),,,True,False,False,False,
1529,일반보호용(SGE-133대체)1527+SV02/1%,2025-04-04 00:00:00,(B45),911,(CX100/0.8%)(SV02/1%),(TSR5903/5%),(1.2)(#8),노항우,"(256,224)*(초/90/BA)","(232/103>494/275)*(가/90/BA,2B3T)",,(7일양호)*(BA),,,False,False,False,False,
1528,일반보호용(SGE-133대체)1527+SV02/0.5%,2025-04-04 00:00:00,(B45),911,(CX100/0.8%)(SV02/0.5%),(TSR5903/5%),(1.2)(#8),노항우,"(249,247)*(초/90/BA)","(244/73>413/242)*(가/90/BA,2B3T)",,(7일탈리)*(BA),,,False,False,False,False,
1527,일반보호용(SGE-133대체)911E+B45+#8bar,2025-04-04 00:00:00,(B45),911,(CX100/0.8%),(TSR5903/5%),(1.2)(#8),노항우,"(256,245)*(초/90/BA)","(251/74>479/284)*(가/90/BA,2B3T)",,(7일탈리)*(BA),,,True,False,False,False,
1526,건축내외장재용(SGO457대체용)911F#12bar+WPO100,2025-04-04 00:00:00,(WPO100),911,(CX100/0.8%),(TSR5903/10%),(1.2)(#12),박다영,"(373,394)*(초/90/BA)",(248>401)*(가/90/2B3T),,,,,True,False,False,False,
1525,건축내외장재용(SGO457대체용)1522+SV02/2%,2025-04-04 00:00:00,(WPO100),911,(CX100/0.8%)(SV02/2%),(TSR5903/5%),(1.2)(#12),박다영,"(281,300,299,276)*(초/90/BA)","(142,130/247>225,188/424)*(가/90/2B3T,HL)",,,,,True,False,False,False,
1524,건축내외장재용(SGO457대체용)1522+SV02/1%,2025-04-04 00:00:00,(WPO100),911,(CX100/0.8%)(SV02/1%),(TSR5903/5%),(1.2)(#12),박다영,"(289,287)*(초/90/BA)",(193>280)*(가/90/2B3T),,,,,False,False,False,False,
1523,건축내외장재용(SGO457대체용)1522+SV02/0.5%,2025-04-04 00:00:00,(WPO100),911,(CX100/0.8%)(SV02/0.5%),(TSR5903/5%),(1.2)(#12),박다영,"(300,289)*(초/90/BA)",(150>263)*(가/90/2B3T),,,,,True,False,False,False,
1522,건축내외장재용(SGO457대체용)911E#12bar+WPO100,2025-04-04 00:00:00,(WPO100),911,(CX100/0.8%),(TSR5903/5%),(1.2)(#12),박다영,"(291,292)*(초/90/BA)",(197>271)*(가/90/2B3T),,,,,True,False,False,False,
1521,가공용(SGO164D대체)1466+913기반 GMA/5%+AA/5%,2025-04-04 00:00:00,(T58),S250402H,(TEPA/2%),,(2)(#8),박다영,"(220,236/206,234)*(초/90/BA/3,5일숙성)",(30>200)*(가:80도1시간/180/DCM4144/5일숙성),,,,,False,False,False,False,
1520,가공용(SGO164D대체)1466+913기반 GMA/5%+AA/3%,2025-04-04 00:00:00,(T58),S250402G,(TEPA/2%),,(2)(#8),박다영,"(300/225)*(초/180/DCM4144/숙성1,2일)+(391,391,429,427,423,430,433/412,400,360,319,419,412,420,431/288,303,332,351,405,395,360,370,410,420/357,355,344,316/303,292)*(초/90/BA/1,2,3,4,5일숙성)","(175,130/100>/210)*(가:80도1시간/180/DCM4144/3,5일숙성)",,,,,False,False,False,False,
1519,가공용(SGO164D대체)1466+913기반 GMA/5%+AA/1% 2차,2025-04-04 00:00:00,(T58),S250402F,(TEPA/2%),,(2)(#8),박다영,"(350,331/308,317)*(초/90/BA/3,5일숙성)",(95>325)*(가:80도1시간/180/DCM4144/5일숙성),,,,,False,False,False,False,
1518,건축내외장재용(SGO457대체용)1448+CX100/2%,2025-04-03 00:00:00,(WPO100),911:913=9:1,(CX100/2%),(TSR5903/10%),(1.2)(#12),박다영,"(308,310)*(초/90/BA)","(300/124>516/203)*(가/90/BA,2B3T)",,,,,False,False,False,False,
1517,건축내외장재용(SGO457대체용)1448+SV02/0.5%,2025-04-03 00:00:00,(WPO100),911:913=9:1,(CX100/1.5%)(SV02/0.5%),(TSR5903/10%),(1.2)(#12),박다영,"(340,358)*(초/90/BA)","(327/145>651/184)*(가/90/BA,2B3T)",,,,,False,False,False,False,
1516,건축내외장재용(SGO457대체용)1446+WPO100개선(25/3/25생산품),2025-04-03 00:00:00,(WPO100개선),911:913=9:1,(CX100/1.5%),,(1.2)(#12),박다영,"(187,176)*(초/90/BA)","(165/59>289/88)*(가/90/BA,2B3T)",,,,,False,False,False,False,
1515,장기물성개선용(HDDA 0.5%적용검토) CX100/0.4%,2025-04-01 00:00:00,(G75),S250325H,(CX100/0.4%),(TSR5903/5%),(1.2)(#12),노항우,"(292,260)*(초/90/BA)",,,,,,False,False,False,False,
1514,장기물성개선용(HDDA 0.5%적용검토) CX100/0.5%,2025-04-01 00:00:00,(G75),S250325H,(CX100/0.5%),(TSR5903/5%),(1.2)(#12),노항우,"(281,243)*(초/90/BA)",,,,,,False,False,False,False,
1513,장기물성개선용(HDDA 0.5%적용검토) CX100/0.6%,2025-04-01 00:00:00,(G75),S250325H,(CX100/0.6%),(TSR5903/5%),(1.2)(#12),노항우,"(271,246)*(초/90/BA)",,,,,,False,False,False,False,
1512,장기물성개선용(HDDA 0.5%적용검토) CX100/0.2%,2025-04-02 00:00:00,(G75),S250325H,(CX100/0.2%),(TSR5903/5%),(1.2)(#12),노항우,"(302,318/353,393/376,386/424,414/431,445)*(초/90/BA/항항0,0.5,1,1.5,2주)","(300/300/382/421/441>705_탈리/690/703_탈리/709_탈리/794_탈리)*(가/90/BA/항항0,0.5,1,1.5,2주)",,(7일양호)*(BA),,,False,False,False,False,
1511,장기물성개선용(HDDA 0.5%적용검토) CX100/0.3%,2025-04-02 00:00:00,(G75),S250325H,(CX100/0.3%),(TSR5903/5%),(1.2)(#12),노항우,"(285,284/340,325/340,384/420,413/428,425)*(초/90/BA/항항0,0.5,1,1.5,2주)","(250/281/400/394/389>636/599/699_탈리/724_탈리/765_탈리)*(가/90/BA/항항0,0.5,1,1.5,2주)",,(7일양호)*(BA),,,False,False,True,False,
1510,신규(GG100um적용검토)1465+GG100원단,2025-04-02 00:00:00,(G100),911,(CX100/0.8%),(TSR5903/5%),(1.2)(#12),박다영,"(350,356)*(초/90/BA)",(268>682)*(가/90/BA),,,,,False,False,False,False,
1509,장기물성개선용(유화제함량조절)SR-1025/1.25%+ER-10/0.1%,2025-04-02 00:00:00,(G75),S250401H,(CX100/0.8%),(TSR5903/5%),(1.2)(#12),노항우,"(428,423/447,448/492,514/503,515/501,474)*(초/90/BA/항항0,0.5,1,1.5,2주)","(320/426/483/496/500>673/679/819/889_탈리/862_탈리)*(가/90/BA/항항0,0.5,1,1.5,2주)",,(7일양호)*(BA),,,False,False,False,False,
1508,장기물성개선용(유화제함량조절)SR-1025/1.25%,2025-04-02 00:00:00,(G75),S250401G,(CX100/0.8%),(TSR5903/5%),(1.2)(#12),노항우,"(410,376/434,415/492,482/500,495/480,488)*(초/90/BA/항항0,0.5,1,1.5,2주)","(334/373/476/506/501>695/649/769_탈리/722_탈리/874_탈리)*(가/90/BA/항항0,0.5,1,1.5,2주)",,(7일양호)*(BA),,,False,False,False,False,
1507,장기물성개선용(유화제함량조절)ER-10/0.1%,2025-04-02 00:00:00,(G75),S250401F,(CX100/0.8%),(TSR5903/5%),(1.2)(#12),노항우,"(398,429/469,447/457,456/495,465/473,465)*(초/90/BA/항항0,0.5,1,1.5,2주)","(356/441/477/464/479>660/610/760_탈리/687_탈리/887_탈리)*(가/90/BA/항항0,0.5,1,1.5,2주)",,(6일탈리)*(BA),,,False,False,False,False,
1506,"가공용(SGO-633TH, 423TM 대체)Ref. = 909W사선80목",2025-04-01 00:00:00,(SW45),909,(CX100/2.75%)(SV02/2%),(TSR5903/10%)(SA3/0.2%),(2)(#10),노항우,"(159,164,178,157/163,139/211,211/228,230/275,270)*(초/90/BA/항0,0.5,1,1.5,2주)","(158>326)*(가/90/VHPC BA)+(/187/223/>/330/358/398)*(가/90/BA/항0,0.5,1,1.5주)",,(7일양호)*(BA),,,True,False,False,False,
1505,"가공용(SGO-633TH, 423TM 대체)1489+TSR5903/15%+2.7배합",2025-04-01 00:00:00,(SW45),909,(CX100/2%)(SV02/1.5%),(TSR5903/15%)(SA3/0.2%),(2.7)(#4),노항우,"(156,151)*(초/90/BA)",(108>245)*(가/90/VHPC BA),,,,,True,False,False,False,
1504,"가공용(SGO-633TH, 423TM 대체)1488+TSR5903/15%+2.7배합",2025-04-01 00:00:00,(SW45),909,(CX100/2%)(SV02/2%),(TSR5903/15%)(SA3/0.2%),(2.7)(#4),노항우,"(138,139,143,147,130,145/116,119/161,157/176,179/185,170)*(초/90/BA/항0,0.5,1,1.5,2주)","(72/>257/220)*(가/90/VHPC BA,#4)+(/136/171/>240/252/322/319)*(가/90/BA/항0,0.5,1,1.5주)",,(7일오염)*(BA),,,True,False,False,False,
1503,"가공용(SGO-633TH, 423TM 대체)1487+TSR5903/15%+2.7배합",2025-04-01 00:00:00,(SW45),909,(CX100/1.5%)(SV02/3%),(TSR5903/15%)(SA3/0.2%),(2.7)(#4),노항우,"(191,163)*(초/90/BA)",(122>293)*(가/90/VHPC BA),,,,,True,False,False,False,
1502,"가공용(SGO-633TH, 423TM 대체)1489+2.7배합",2025-04-01 00:00:00,(SW45),909,(CX100/2%)(SV02/1.5%),(TSR5903/20%)(SA3/0.2%),(2.7)(#4),노항우,"(191,189)*(초/90/BA)",(131>252)*(가/90/VHPC BA),,,,,True,False,False,False,
1501,"가공용(SGO-633TH, 423TM 대체)1488+2.7배합",2025-04-01 00:00:00,(SW45),909,(CX100/2%)(SV02/2%),(TSR5903/20%)(SA3/0.2%),(2.7)(#4),노항우,"(188,189,144,148)*(초/90/BA)",(132>253)*(가/90/VHPC BA),,(7일오염)*(BA),,,True,False,False,False,
1500,"가공용(SGO-633TH, 423TM 대체)1487+2.7배합",2025-04-01 00:00:00,(SW45),909,(CX100/1.5%)(SV02/3%),(TSR5903/20%)(SA3/0.2%),(2.7)(#4),노항우,"(166,164)*(초/90/BA)",(147>311)*(가/90/VHPC BA),,,,,True,False,False,False,
1499,가공용(SGO164D대체)Ref. = 913A사선120목,2025-04-01 00:00:00,(T58),913,(CX100/1.3%),,(2.7)(#8),박다영,"(189,185,230,196/210,205)*(초/90/BA/숙성3,6일차)+(100/)*(초/180/DCM4144/숙성3,6일차)",(100>400)*(가:80도1일/180/DCM4144/6일숙성),,,,,False,False,False,False,
1498,가공용(SGO164D대체)1466+점착제40도보관2주차,2025-04-01 00:00:00,(T58),S250313H(40도오븐/14d),(TEPA/2%),,(2)(#8),박다영,"(343,339,393,382/280,285)*(초/90/BA/숙성3,6일차)+(200/)*(초/180/DCM4144/숙성3,6일차)",(70>390)*(가:80도1일/180/DCM4144/6일숙성),,,,,False,False,False,False,
1497,건축내외장재용(SGO457대체용)1446+SV02/2%+TSR5903/10%,2025-04-01 00:00:00,(WPO100),911:913=9:1,(CX100/1.5%)(SV02/2%),(TSR5903/10%),(1.2)(#12),박다영,"(305,305/354,349/438,387/349,465)*(초/90/BA/항항0,0.5,1,1.5주)","(/221/320/393>/630/708/722)*(가/90/BA/항항0,0.5,1,1.5주)+(143>227_그림자)*(가/90/2B3T)",,,,,True,False,False,False,
1496,건축내외장재용(SGO457대체용)1446+SV02/1%+TSR5903/10%,2025-04-01 00:00:00,(WPO100),911:913=9:1,(CX100/1.5%)(SV02/1%),(TSR5903/10%),(1.2)(#12),박다영,"(325,323/381,364/395,415/411,489)*(초/90/BA/항항0,0.5,1,1.5주)","(/237/375/426>/711/780/742_스탑마킹)*(가/90/BA/항항0,0.5,1,1.5주)+(157>230_그림자)*(가/90/2B3T)",,,,,True,False,False,False,
1495,건축내외장재용(SGO457대체용)1446+SV02/2%+TSR5903/5%,2025-04-01 00:00:00,(WPO100),911:913=9:1,(CX100/1.5%)(SV02/2%),(TSR5903/5%),(1.2)(#12),박다영,"(245,255/260,271/288,329/460,440)*(초/90/BA/항항0,0.5,1,1.5주)","(/179/301/445>/479/538/710)*(가/90/BA/항항0,0.5,1,1.5주)+(113>180_그림자)*(가/90/2B3T)",,,,,True,False,False,False,
1494,건축내외장재용(SGO457대체용)1446+SV02/1%+TSR5903/5%,2025-04-01 00:00:00,(WPO100),911:913=9:1,(CX100/1.5%)(SV02/1%),(TSR5903/5%),(1.2)(#12),박다영,"(253,251/280,290/420,359/409,396)*(초/90/BA/항항0,0.5,1,1.5주)","(/205/243/381>/545/667/768_탈리)*(가/90/BA/항항0,0.5,1,1.5주)+(107>210_그림자)*(가/90/2B3T)",,,,,True,False,False,False,
1568,장기물성개선용(909AC/HDDA적용검토)909 Lab 합성,2025-04-17 00:00:00,(T45),S250416G,(CX100/3.5%)(SV02/2%),(SA3/0.2%),(4)(#3),노항우,"(28,35,47,52)*(초/90/BA)","(33>171,196)*(가/90/BA)",,,,,True,False,False,False,
1569,장기물성개선용(909AC/HDDA적용검토)909+HDDA 0.25%,2025-04-17 00:00:00,(T45),S250415H,(CX100/3.5%)(SV02/2%),(SA3/0.2%),(4)(#3),노항우,"(31,34,54,42)*(초/90/BA)","(41>182,147)*(가/90/BA)",,(7일양호)*(BA),,,False,False,False,False,
1570,장기물성개선용(909AC/HDDA적용검토)1569+CX100/1.8%+SV02/1%,2025-04-17 00:00:00,(T45),S250415H,(CX100/1.8%)(SV02/1%),(SA3/0.2%),(4)(#3),노항우,"(48,48)*(초/90/BA)",(54>208)*(가/90/BA),,,,,False,False,False,False,
1571,건축내외장재용(태국알루미늄프로파일용)911E 사선80목+B45,2025-04-17 00:00:00,(B45),911,(CX100/0.8%),(TSR5903/5%),(1.2)(#10),노항우,"(232,267)*(초/90/BA)",(269>443)*(가/90/BA),(양호)*(150도15분/BA)+(양호)*(60도3d/AL프로파일),,,,False,False,False,False,
1572,건축내외장재용(태국알루미늄프로파일용)1571+TSR5903/0%,2025-04-17 00:00:00,(B45),911,(CX100/0.8%),,(1.2)(#10),노항우,"(200,189)*(초/90/BA)",(205>415)*(가/90/BA),(양호)*(150도15분/BA)+(양호)*(60도3d/AL프로파일),,,,False,False,False,False,
1573,건축내외장재용(태국알루미늄프로파일용)1571+2배합,2025-04-17 00:00:00,(B45),911,(CX100/0.8%),(TSR5903/5%),(2)(#10),노항우,"(235,232)*(초/90/BA)",(249>361)*(가/90/BA),(양호)*(150도15분/BA)+(양호)*(60도3d/AL프로파일),,,,False,False,False,False,
1574,건축내외장재용(태국알루미늄프로파일용)1573+TSR5903/0%,2025-04-17 00:00:00,(B45),911,(CX100/0.8%),,(2)(#10),노항우,"(199,180)*(초/90/BA)",(211>457)*(가/90/BA),(양호)*(150도15분/BA)+(양호)*(60도3d/AL프로파일),,,,False,False,False,False,
1575,가공용(SGO164D대체)1520+1-Methylimidazole 0.1%,2025-04-17 00:00:00,(T58),S250402G,(TEPA/2%),(1-MID/0.1%),(2)(#8),박다영,"(465,506/380,353/333,366/320,333)*(초/90/BA/숙성1,2,3,4일)",,,,,,False,False,False,False,
1576,가공용(SGO164D대체)1520+1-Methylimidazole 1%,2025-04-17 00:00:00,(T58),S250402G,(TEPA/2%),(1-MID/1%),(2)(#8),박다영,"(443,438//385,346/357,372)*(초/90/BA/숙성1,2,3,4일)",,,,,,False,False,False,False,
